category,name,price,description,gender,product_image
Trainers,adidas Originals Superstar XLG Junior,SGD 119.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_IF0550_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Max 270 Junior,SGD 169.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_943345-115_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike E-Series 1.0 Big Kids',SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV4250-002_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 8 Retro Junior,SGD 225.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_305368-062_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 4 Retro Junior,SGD 225.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_408452-161_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Puma Cali Dream Sand Junior,SGD 119.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_392131-01_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Stan Smith Junior,SGD 99.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FX7522_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 1 Mid Junior,SGD 189.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_FB2212-100_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 1 Low SE Junior,SGD 169.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DX4374-008_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,adidas Originals Superstar Junior,SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_HQ4288_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 3 Retro Junior,SGD 215.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DX6665-100_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Puma Cali Dream Junior,SGD 119.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_392131-02_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Blazer Mid '77 Junior,SGD 119.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_554967_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Jordan Air 1 Low Junior,SGD 139.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_553560-066_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Lacoste Lerond Pro 123 Junior,SGD 99.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_45CUJ0019-65T_a&qlt=85&exclusive=1&qlt=92&wid=363&hei=363&v=1&fmt=auto
Trainers,Nike Cortez Basic SL Junior,SGD 85.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_904764-109_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Trainers,Nike Air Max 90 Junior,SGD 139.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_CD6864-115_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Running Shoes,New Balance 550 Junior,SGD 129.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_GSB550WK_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Running Shoes,Nike E-Series 1.0 Big Kids',SGD 109.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DV4250-002_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Running Shoes,Nike Revolution 6 Junior,SGD 85.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_DD1096-003_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
Running Shoes,New Balance 550 Junior,SGD 129.00,,Kids',https://i8.amplience.net/t/jpl/jdsg_product_list?plu=jd_GSB550WA_a&qlt=85&qlt=92&w=363&h=363&v=1&fmt=auto
